complaint_text,base_severity,category,compllaint_text
Water supply is completely absent on Tuesdays and Thursdays without any prior notice. Disrupts daily planning.,3,Water_Sanitation,
"The drainage system is non-existent in the informal settlement behind the market, leading to open discharge and unhygienic conditions.",4,Water_Sanitation,
"The borewell in our society has started giving out yellowish water, potentially due to groundwater contamination. Worrisome.",4,Water_Sanitation,
"The community water filter system is not maintained, and water quality has significantly declined. Residents are getting sick.",3,Water_Sanitation,
"Open sewers in our street emit a strong, pungent odour, making it difficult to breathe, especially for kids and elderly.",4,Water_Sanitation,
Water supplied after heavy rains is always discoloured and has a lot of particulate matter. Needs better filtration.,3,Water_Sanitation,
"The public water tap near the school is broken and constantly running, wasting water all day. Needs immediate repair.",2,Water_Sanitation,
Unhygienic conditions around the public handpump in the village due to lack of proper drainage for wastewater. Mosquito breeding.,3,Water_Sanitation,
"The frequency of water-borne diseases in our area (Kalyanpur) has increased, pointing to contaminated water supply. Urgent health crisis.",5,Water_Sanitation,
"Extremely low water pressure during morning hours, making it impossible to fill buckets or shower properly. Very frustrating.",2,Water_Sanitation,
"A significant crack in the municipal water pipe on the footpath, water seeping out and making the pavement slippery. Hazard.",2,Water_Sanitation,
"Sewage backing up into the street drains, creating a foul-smelling swamp in front of our shops. Business is affected.",4,Water_Sanitation,
"Water comes with a strong smell of algae or decaying matter, especially in the mornings. Makes it unpleasant to use.",3,Water_Sanitation,
"The only public toilet in our sector (Sector 12, Noida) is completely out of order and closed. Residents have no option.",2,Water_Sanitation,
"During the monsoon, the lack of proper drainage in our lane turns it into a muddy river. Foot traffic is impossible.",3,Water_Sanitation,
"Water supply for less than an hour a day, absolutely insufficient for a large family in this hot weather. We are suffering.",3,Water_Sanitation,
"Children are refusing to drink tap water due to its strange taste and smell, forcing reliance on expensive bottled water.",3,Water_Sanitation,
"The main water pipeline crossing the bridge has a visible leak, dripping onto the road below. Needs immediate repair to avoid damage.",3,Water_Sanitation,
Drains in our residential colony are perpetually clogged with plastic bags and household waste. No proper cleaning schedule.,3,Water_Sanitation,
The water supplied to our area frequently causes itching and skin rashes after bathing. Serious health concern.,4,Water_Sanitation,
"Intermittent water supply for the last week, making it very difficult to plan daily activities and chores.",2,Water_Sanitation,
"A massive burst in the underground water main near the main market, water gushing out for hours. Huge loss and disruption.",5,Water_Sanitation,
The wastewater from our houses is collecting on the street due to completely blocked local drains. Creates a health hazard.,4,Water_Sanitation,
"The overhead community water tank has not been cleaned in years, visible moss and grime inside. Water quality is compromised.",4,Water_Sanitation,
"Foul smell emanating from the sewer lines near the children's park, raising health concerns for playing kids.",3,Water_Sanitation,
No water supply to the upper floors of our building due to very poor pressure. Residents on higher floors are struggling.,2,Water_Sanitation,
"The public handpump in the park is broken and rusted, poses a safety hazard and is completely unusable. Needs urgent repair.",2,Water_Sanitation,
"Tap water is extremely hard, leading to scaling in appliances and issues with washing clothes and utensils.",2,Water_Sanitation,
Sewage is overflowing from the manhole near the entrance of our gated community. Unpleasant and unhygienic for residents.,4,Water_Sanitation,
"Water supply is cut off without notice for hours every day, creating great inconvenience and affecting daily routines.",3,Water_Sanitation,
"Residents of Shiv Vihar are complaining of chronic stomach problems, linking it to the poor quality of tap water. Urgent investigation.",5,Water_Sanitation,
"The public water cooler is dirty and attracts insects, needs urgent cleaning and maintenance for public health.",2,Water_Sanitation,
Continuous small leak from the water meter connection outside my house for a month now. Minor but persistent wastage.,1,Water_Sanitation,
"Storm drains are completely choked with debris from ongoing construction work, causing severe waterlogging during rains.",4,Water_Sanitation,
"The water coming from our taps is visibly cloudy and has a lot of sediment, especially in the mornings. Needs filtration.",3,Water_Sanitation,
"No proper sanitation facilities for migrant workers living near the construction site, leading to open defecation and health risks.",4,Water_Sanitation,
"The municipal water pipeline burst near the petrol pump, causing massive disruption and wastage. Needs immediate repair.",5,Water_Sanitation,
"The public taps in our colony are frequently dry, forcing residents to buy water from private vendors. Financial burden.",3,Water_Sanitation,
"Water supply is only between 4-5 AM, which is too early and inconvenient for most households. Affects daily routine.",2,Water_Sanitation,
"The main drain near the old temple is completely choked with garbage, emitting a very foul smell and attracting pests.",3,Water_Sanitation,
Children in the locality are getting sick with typhoid; suspecting severe contamination in the water supply. Urgent health crisis!,5,Water_Sanitation,
A persistent leakage from the main water supply pipe on the roadside for the last two weeks. Significant water wastage.,3,Water_Sanitation,
"The public toilets in the market are locked or unusable, no maintenance at all. Forces people to use open spaces.",3,Water_Sanitation,
"Waterlogging in the narrow lanes of our old city area even after light rain, due to poor drainage infrastructure.",3,Water_Sanitation,
"The borewell water in our society has a strong chemical smell, making it unsafe for bathing or washing. Worrisome.",4,Water_Sanitation,
"Frequent interruptions in water supply, often several times a day for short periods. Very disruptive to daily life.",2,Water_Sanitation,
No water flow in the taps for the third consecutive day in Gomti Nagar. This is unacceptable and causing huge hardship.,4,Water_Sanitation,
"Our tap water sometimes has an oily film floating on the surface, raising serious contamination concerns. Unsafe to use.",4,Water_Sanitation,
Raw sewage is overflowing from a broken pipe near the children's playground. Urgent health hazard for the kids!,5,Water_Sanitation,
"The public water fountain near the jogging track is broken and continuously sprays water, wasting a lot of precious resource.",2,Water_Sanitation,
"Water pressure is extremely erratic; it keeps fluctuating throughout the day, making chores difficult and annoying.",2,Water_Sanitation,
"The main storm drain in our neighbourhood is completely choked with plastic waste, causing severe waterlogging after every drizzle.",4,Water_Sanitation,
"Residents of Shastri Nagar are experiencing recurring instances of diarrhea, suspecting the municipal water quality. Serious health risk.",5,Water_Sanitation,
The water supplied to our building has a distinct metallic taste and a faint reddish tint. Unpleasant and raises doubts about quality.,3,Water_Sanitation,
"Continuous leakage from the overhead storage tank for the entire block, creating dampness and breeding mosquitoes. Unhygienic.",3,Water_Sanitation,
The open drains running through the informal settlements have become breeding grounds for disease vectors. Urgent sanitation needed.,4,Water_Sanitation,
"Water supply is limited to only morning hours, causing huge problems for evening chores and late-night needs. Very inconvenient.",3,Water_Sanitation,
"The main sewage line near the old fort has collapsed, causing a massive overflow of wastewater onto public land. Critical disaster.",5,Water_Sanitation,
"The communal handpump in our village has very rusty water, making it unusable for drinking and cooking. Needs urgent repair.",3,Water_Sanitation,
Public toilets near the bus depot are extremely unhygienic and lack basic amenities like water and soap. Public health concern.,3,Water_Sanitation,
"Water logging near the metro station exit after even moderate rains, causing severe pedestrian inconvenience and traffic snarls.",3,Water_Sanitation,
"Our tap water consistently carries a strong earthy smell, especially during monsoon season, indicating poor filtration. Unpleasant.",3,Water_Sanitation,
"A significant crack in the underground water pipe beneath our street, leading to a constant damp patch on the road. Potential hazard.",2,Water_Sanitation,
"The water filter installed in the public school is defunct, forcing students to drink unfiltered, potentially unsafe water. Health risk.",4,Water_Sanitation,
"Lack of proper drainage system in the back alleys of our market, leading to accumulation of foul-smelling stagnant water. Business affected.",4,Water_Sanitation,
"Water supply cuts off frequently without any notice, sometimes for hours, severely disrupting daily life. Very frustrating.",3,Water_Sanitation,
Children are showing symptoms of cholera; the main water supply to our jhuggi jhopdi cluster is highly contaminated. This is a critical emergency.,5,Water_Sanitation,
"The overhead water tank in the community park is overflowing for several hours daily, leading to extreme water wastage. Needs maintenance.",3,Water_Sanitation,
"The water supplied has a cloudy appearance with visible suspended particles, making it look very unappetizing and unsafe.",3,Water_Sanitation,
"Raw sewage is seeping out from a broken manhole cover near the pedestrian walkway, creating a health hazard and unbearable smell.",4,Water_Sanitation,
The public tap at the crossroads has been running continuously for days due to a faulty valve. Wastage is immense.,2,Water_Sanitation,
"No water supply during the day, only for an hour late at night, which is incredibly inconvenient for elderly residents and families.",3,Water_Sanitation,
"The drains in our street are overflowing with household waste and construction debris, causing a terrible mess and blockage.",3,Water_Sanitation,
"Residents of our colony (Green Park) are consistently receiving highly chlorinated water, causing skin dryness and irritation.",2,Water_Sanitation,
"The public borewell has dried up due to over-extraction, and there's no alternative for the community. Acute water crisis.",4,Water_Sanitation,
"A major burst in the main water supply pipeline near the hospital entrance, affecting critical services. Urgent repair needed.",5,Water_Sanitation,
"The water purification unit at the community hall is out of order for weeks, forcing residents to boil water or buy bottled.",3,Water_Sanitation,
"Water supply has been intermittent for the past month, often stopping without warning in the middle of tasks. Very frustrating.",3,Water_Sanitation,
"Foul smell from the public sewerage line near the temple, making the area unpleasant for visitors and residents. Health concern.",3,Water_Sanitation,
"Water logging in front of our shops after every short spell of rain, hindering customer access and affecting business.",2,Water_Sanitation,
"The municipal water has a strange, pungent chemical smell, making it completely unfit for consumption. Urgent health alert!",5,Water_Sanitation,
"Continuous leakage from the main water line feeding our residential area, causing low pressure for everyone. Significant wastage.",3,Water_Sanitation,
"The public toilets near the market are constantly dirty and unmaintained, a breeding ground for germs and disease.",3,Water_Sanitation,
Children from our school are falling sick with water-borne diseases; the school water supply needs urgent checking and replacement.,5,Water_Sanitation,
"Overflowing drains on both sides of the main road near the flyover, causing significant traffic disruption and a terrible mess.",4,Water_Sanitation,
"The water supplied to our building has a very peculiar aftertaste, not fresh at all. Unpleasant for drinking.",2,Water_Sanitation,
"No water supply for three consecutive days in our entire village (Ramnagar). An urgent crisis, affecting hundreds of families.",4,Water_Sanitation,
"A public standpost has been broken for weeks, continuously releasing water onto the street. Needs immediate attention.",3,Water_Sanitation,
"The community borewell water is visibly murky and has a strong odour, causing concern among residents. Unsafe for use.",4,Water_Sanitation,
Sewage backing up into the ground floor washrooms of our apartment building during peak hours. Disgusting and severe health risk.,5,Water_Sanitation,
"Intermittent, dirty water supply with low pressure for the past week in our area. Very inconvenient and unhygienic.",3,Water_Sanitation,
"The main water pipeline burst near the commercial complex, causing severe damage to the road and massive water loss. Urgent repair.",5,Water_Sanitation,
"Waterlogging near the railway underpass every time it rains, causing long delays for commuters and traffic congestion.",3,Water_Sanitation,
"The water supplied through our taps is often brown and has small particles, especially after repairs. Unsafe to consume.",4,Water_Sanitation,
"Lack of access to clean drinking water in our rural hamlet, forcing reliance on unsafe sources. Critical human rights issue.",4,Water_Sanitation,
"Continuous overflow from the communal overhead water tank, leading to constant dampness around the building and mosquito breeding.",2,Water_Sanitation,
"The drainage system in our industrial area is clogged with chemical waste, leading to toxic waterlogging. Environmental hazard.",5,Water_Sanitation,
"Water in our taps smells strongly of rotting eggs (hydrogen sulfide), making it unusable for cooking or drinking. Serious concern.",4,Water_Sanitation,
"The new housing society has no provision for rainwater harvesting, leading to groundwater depletion and water crisis.",2,Water_Sanitation,
"A public washroom near the tourist spot has no water supply, rendering it useless and causing inconvenience.",2,Water_Sanitation,
"The main sewer line along the river bank has a visible crack, polluting the river water. Environmental disaster.",5,Water_Sanitation,
"Our community receives water only every alternate day, making water storage and management extremely difficult.",3,Water_Sanitation,
"The borewell in our school premises is pumping out water with a high iron content, causing reddish stains everywhere.",3,Water_Sanitation,
"Public taps in the resettlement colony are rusted and broken, causing injuries and wastage.",3,Water_Sanitation,
Heavy siltation in the main water supply pipeline leading to reduced flow and dirty water at times.,3,Water_Sanitation,
"The water supply schedule is highly erratic and changes without prior intimation, causing confusion.",2,Water_Sanitation,
"Water distributed through tankers is often dirty and of questionable quality, forcing residents to filter it again.",3,Water_Sanitation,
"Open discharge of domestic wastewater into the agricultural fields, contaminating soil and crops. Environmental damage.",4,Water_Sanitation,
"The overhead tank of the municipal park is completely dry for days, depriving public of water.",1,Water_Sanitation,
"Several public handpumps have been dismantled and not replaced, leaving communities without a water source.",3,Water_Sanitation,
"The water flowing in our taps is sometimes yellowish, sometimes clear, indicating inconsistent treatment.",3,Water_Sanitation,
Drainage channels near the temple pond are completely choked with floral waste and offerings. Stagnant water.,2,Water_Sanitation,
"The public water cooler is not working and the area around it is very dirty, attracting flies.",1,Water_Sanitation,
"The main water supply pipe has developed multiple small leaks, causing damp patches along the street.",2,Water_Sanitation,
"Residents are complaining of frequent bouts of viral fever, suspecting contaminated water from the public supply.",4,Water_Sanitation,
"The water pressure is so low that our geysers are not filling up, especially in the mornings.",2,Water_Sanitation,
"Sewage backing up into roadside eateries, posing a severe health risk to customers and staff.",5,Water_Sanitation,
"The water supplied has a lot of foaming, especially when mixed with soap, indicating detergent contamination.",4,Water_Sanitation,
Lack of proper storm water drains in our area means every heavy rain causes major flooding.,4,Water_Sanitation,
"The public tap on the main road is broken and spraying water everywhere, creating slippery conditions.",2,Water_Sanitation,
The water from the common borewell leaves a strong residual smell on hands after washing.,2,Water_Sanitation,
"The main sewage collector pipe near the railway track is exposed and broken, leaking directly onto the tracks.",5,Water_Sanitation,
Water supply is insufficient for the population growth in our area; new constructions are not accounted for.,3,Water_Sanitation,
"The community water filtration unit has not been serviced for over a year, significantly impacting water quality.",3,Water_Sanitation,
Open defecation is rampant behind the market area due to lack of public toilet facilities. Unhygienic.,3,Water_Sanitation,
"Water has a strange, sweetish taste, which is unusual and worrisome for drinking.",2,Water_Sanitation,
"During construction of the new flyover, several water pipelines were damaged, causing prolonged disruptions.",4,Water_Sanitation,
The public washroom for women near the hospital is always out of order or extremely dirty.,3,Water_Sanitation,
"Waterlogging in the school playground after every rain, making it unusable for children.",3,Water_Sanitation,
"The water supplied is very muddy after recent pipeline repair work, needs proper flushing.",3,Water_Sanitation,
"The main water meter outside our society has a consistent leak, leading to high bills and water wastage.",2,Water_Sanitation,
"Foul smell emanating from the open drains near the bus stop, affecting commuters.",2,Water_Sanitation,
"The water supplied has a very low pH, making it corrosive to pipes and unpalatable.",3,Water_Sanitation,
No proper maintenance of borewells; many are abandoned or pumping contaminated water.,3,Water_Sanitation,
"The public water pump near the community center is broken, and locals are facing great difficulty.",3,Water_Sanitation,
"Water supplied at my home has a strange, oily texture, which is highly concerning.",4,Water_Sanitation,
"The drainage system in our low-lying area is always inadequate, leading to persistent waterlogging.",4,Water_Sanitation,
"Our taps sometimes spit out air, indicating issues with the water supply line or pumping.",1,Water_Sanitation,
"The public handpump near the village school is giving out turbid water, unsafe for children.",3,Water_Sanitation,
"Overflowing sewage from the market drains during peak hours, causing a huge mess and health risk.",4,Water_Sanitation,
"The water supplied in the morning has a very strong bleach-like smell, indicating excessive chlorination.",2,Water_Sanitation,
"The communal water tank in our apartment complex is often empty, leading to erratic water supply.",3,Water_Sanitation,
"No provision for solid waste management near public water points, leading to blockage of drains.",2,Water_Sanitation,
"The main water line has a significant sag, causing pooling and potential contamination points.",3,Water_Sanitation,
"Children near the open drains are developing skin infections, indicating very poor sanitation.",4,Water_Sanitation,
Water supply is frequently disrupted during religious festivals when it's needed most.,3,Water_Sanitation,
"The public taps are constantly dripping due to poor fitting, wasting a continuous stream of water.",1,Water_Sanitation,
"Foul smell from the drains along the main road of our sector, especially in the evenings.",2,Water_Sanitation,
The water supplied has a very strong and unpleasant chemical aftertaste. Unfit for consumption.,4,Water_Sanitation,
"Waterlogging in the narrow lanes of the old city even after light rain, disrupting daily life.",3,Water_Sanitation,
"The public handpump in our village has been broken for over two months, no repair work initiated.",3,Water_Sanitation,
Our building has no water supply from the municipal line for the past 48 hours. This is an emergency.,4,Water_Sanitation,
The water supplied through our taps is constantly causing indigestion and stomach upsets.,5,Water_Sanitation,
"The main drain in front of the local market is choked with plastic waste and garbage, emitting a terrible smell.",3,Water_Sanitation,
A massive overflow of sewage from a manhole near the school gate. Urgent health hazard to children.,5,Water_Sanitation,
The overhead water tank for our society is overflowing every day for hours. Sheer wastage of water.,3,Water_Sanitation,
"The borewell in our area is giving out very hard water, making it difficult to wash clothes and causing skin issues.",2,Water_Sanitation,
Public toilets near the railway station are extremely dirty and have no running water. Unusable.,3,Water_Sanitation,
Waterlogging in our street after every rain due to inadequate drainage system. Causes major inconvenience.,3,Water_Sanitation,
"The water supplied in our colony has a brownish tinge and visible sediment, making it look unsafe.",4,Water_Sanitation,
"Intermittent water supply, sometimes for 30 minutes, sometimes for an hour, completely unpredictable. Very frustrating.",2,Water_Sanitation,
"Major water pipeline burst near the metro station, resulting in huge water wastage and disruption.",5,Water_Sanitation,
"The community water filter unit is broken, forcing residents to rely on unsafe drinking water sources.",3,Water_Sanitation,
The open drain running through our residential area is overflowing with raw sewage. Unbearable stench and health risk.,4,Water_Sanitation,
"Our taps sometimes produce a loud gurgling sound, indicating air in the water supply lines.",1,Water_Sanitation,
The water supplied to our area during monsoon tastes very earthy and has a strong smell of mud.,3,Water_Sanitation,
"The public water cooler at the park is leaking continuously, causing a slippery mess and wastage.",2,Water_Sanitation,
Sewage backing up into the ground floor toilets of our building due to blocked main sewer line. Disgusting.,5,Water_Sanitation,
"Water supply is only for a few hours late at night, which is very inconvenient for families with children.",3,Water_Sanitation,
"The drains in our street are perpetually clogged with garbage, leading to standing water and mosquito breeding.",3,Water_Sanitation,
"The water supplied has a strong and persistent metallic aftertaste, raising concerns about pipe corrosion.",3,Water_Sanitation,
"The handpump in our village has been defunct for weeks, leaving villagers without easy access to water.",3,Water_Sanitation,
"No water supply in our entire area for the past 2 days, causing severe hardship for residents.",4,Water_Sanitation,
